ID,LATCOD,LONCOD
10000500870,34.2602,-86.2062
10000500871,34.2622,-86.2049
10000500879,34.2733,-86.2201
10000500889,34.2527,-86.221806
10000501616,34.2898,-86.1933
10000502150,34.2533,-86.2218
10000600193,34.5337,-86.2541
10000600872,34.3625,-86.142
10000600876,34.4069,-86.2704
10000600877,34.176234,-86.321259
10000600878,34.178658,-86.319462
10000600880,34.3445,-86.4421
10000600883,34.534948,-86.253261
10000600887,34.400054,-86.44683
10000600986,34.4069,-86.2704
10000600987,34.3054,-86.2859
10000601413,34.176774,-86.322507
10000601585,34.3764,-86.4219
10000601685,34.5343,-86.2542
10000601812,34.177536,-86.320895
10000602209,34.362734,-86.141422
10000700091,33.3409,-86.8447
10000700248,33.413,-86.6585
10000700251,33.3444,-86.8377
10000700337,33.3956,-86.7322
10000700342,33.3375,-86.8784
10000701422,33.330923,-86.854796
10000701456,33.3927,-86.7288
10000701483,33.3639,-86.8674
10000701738,33.4096,-86.8538
10000701739,33.3957,-86.8088
10000701740,33.3882,-86.8312
10000701741,33.3879,-86.8337
10000701742,33.4091,-86.7668
10000701743,33.426608,-86.824614
10000702091,33.3596,-86.8129
10000702186,33.344122,-86.88919
10000702359,33.337604,-86.840932
10000702487,33.34668,-86.80969
10000800303,34.7058,-86.7137
10000800495,34.7408,-86.7427
10000800831,34.7192,-86.7425
10000800839,34.6975,-86.7505
10000800851,34.7212,-86.7512
10000801423,34.7211,-86.7832
10000801485,34.7512,-86.7331
10000801798,34.7337,-86.7792
10000802097,34.7343,-86.766
10000802133,34.701186,-86.772013
10000802198,34.705886,-86.791802
10000901403,33.43196,-86.098534
10000901404,33.433574,-86.089689
10000901405,33.427279,-86.117477
10000901406,33.42544,-86.117706
10000902231,34.722432,-86.590455
10001102094,33.5452,-86.5481
10001102095,33.54936,-86.536894
10001102096,33.547574,-86.574182
10001102430,33.545099,-86.560964
10001200123,34.2122,-86.1579
10001200874,34.2118,-86.1639
10001200884,34.2048,-86.1755
10001201630,34.2135,-86.1613
10001201781,34.2065,-86.1781
10001300714,33.655829,-86.593651
10001301498,33.649323,-86.567607
10001301682,33.665684,-86.590765
10001302401,33.599544,-86.623626
10001302402,33.629258,-86.603955
10001501827,32.11162,-87.077608
10001502118,32.374794,-86.304436
10001502121,32.361496,-86.201852
10001502126,32.361496,-86.201852
10001502131,32.442925,-86.944188
10001502458,34.619189,-87.038078
10001601828,33.504855,-86.803891
10001901830,33.432125,-86.873858
10002001831,33.22599,-87.122217
10002101832,33.18708,-87.48217
10002201833,34.670787,-87.312122
10002401835,34.579414,-86.440997
10002602352,32.374834,-85.661814
10002801839,33.163401,-87.187669
10003000001,32.9451,-85.9488
10003000003,32.9377,-85.9508
10003000004,32.9312,-85.9307
10003000005,32.9555,-85.949
10003000006,32.9295,-85.9726
10003301843,33.48039,-86.665128
10003302125,33.48039,-86.665128
10003302130,33.48039,-86.665128
10003501845,30.794646,-88.229311
10003501846,33.921026,-85.725683
10003502105,32.534892,-85.894875
10003502370,32.613378,-85.47482
10003602451,32.642141,-85.428184
10003701848,30.624823,-88.177804
10003801849,31.42272,-85.90201
10003802468,31.07607,-87.617528
10003901850,33.4327,-86.086728
10004001851,32.38493,-86.290431
10004101852,33.218566,-86.827495
10004201853,31.203814,-85.38462
10004301854,34.072451,-86.019739
10006000007,31.3154,-86.4708
10006000008,31.314977,-86.470935
10006001467,31.2846,-86.5025
10009000011,33.6612,-85.82
10009000017,33.6321,-85.7758
10009000020,33.6656,-85.8591
10009000021,33.6581,-85.8086
10009001246,33.708165,-85.822863
10009001725,33.708165,-85.822863
10009001782,33.6617,-85.8417
10010000022,34.3293,-86.4943
10010000025,34.3349,-86.4966
10010000027,34.3124,-86.5105
10010000028,34.329247,-86.48857
10012000522,34.7934,-86.9967
10012001471,34.795787,-86.967922
10012001472,34.812486,-86.949822
10012001473,34.803346,-86.949838
10012001474,34.8043,-86.9934
10012001475,34.7993,-86.9626
10012001758,34.7819,-86.9629
10012002417,34.800179,-86.964919
10017502112,30.704663,-88.082939
10017602108,33.364683,-86.332274
10017602109,32.577049,-86.337457
10017602110,32.564214,-86.193789
10017602111,33.51396,-87.184745
10017602460,32.582667,-86.391816
10017602465,32.387976,-86.101496
10017602466,32.577164,-86.333054
10017602467,32.581384,-86.391869
10017802113,33.548911,-86.730571
10017802374,33.548911,-86.730571
10017902107,30.619211,-88.33722
10017902459,34.071923,-85.979239
10018000033,33.996,-86.1109
10018000034,33.995704,-86.112782
10018000035,33.998734,-86.126219
10018102116,31.006675,-87.268202
10018302114,33.58486,-86.646003
10018402115,34.011773,-86.02093
10018500893,30.8313,-88.065367
10018500952,30.810124,-88.078798
10018502137,30.796015,-88.100153
10018502427,30.862549,-88.127677
10018602335,32.353,-86.326001
10018702371,32.425143,-86.286837
10018802193,30.761258,-88.082215
10018802194,30.757103,-88.078474
10018802428,30.757103,-88.078474
10018802514,30.757103,-88.078474
10018902195,30.8471,-88.0569
10018902196,30.8466,-88.067
10019001182,33.216548,-86.838466
10019001183,33.222102,-86.845962
10019001184,33.220563,-86.833045
10019001460,33.17642,-86.808574
10019001815,33.225792,-86.864943
10019102305,33.208576,-87.545482
10019201694,32.289712,-86.261669
10019302341,30.721769,-88.141573
10019402395,33.309908,-86.789469
10019402396,33.275334,-86.78671
10019402398,33.30662,-86.808097
10019402399,33.312895,-86.82121
10019502407,32.338392,-86.028178
10019502424,32.285484,-86.103225
10019502441,32.355003,-86.102682
10019502498,32.355003,-86.102682
10019702432,30.668018,-88.11973
10019802450,32.37078,-86.31163
10019902452,32.586288,-88.189067
10020002463,32.638835,-85.404667
10020102472,33.553991,-86.872386
10020202469,30.26906,-87.68018
10020202471,30.269072,-87.679015
10020202473,30.269146,-87.675805
10020302470,32.341405,-86.223619
10020302516,32.341405,-86.223619
10020402476,33.537508,-86.763339
10020402510,33.564945,-86.726303
10020702502,32.352192,-86.328259
10020802503,32.607571,-87.335131
10020902504,32.459712,-86.470155
10021000036,32.603878,-85.446081
10021000037,32.596469,-85.463119
10021000039,32.6209,-85.4847
10021000040,32.600491,-85.464089
10021000041,32.618099,-85.494389
10021000042,32.59,-85.472
10021000053,32.58567,-85.469055
10021001254,32.564,-85.4566
10021001259,32.6404,-85.5065
